Author	Book Title	ISBN	Year Level
Barnham, Kay	Florence Nightingale: the Lady of the Lamp	978-0-7502-4018-5	5-6
Barrie, J. M.	Peter Pan	978-1-85326-120-6	5-6
Barron, Antonia	Jeremy Jeremiah	978-1-86373-860-6	7-8
Barrows, Annie	Ivy and Bean series		3-4
Barry, Dave; Ridley, Pearson	Peter and the… series		5-6
Barry, Philip; Lance, Charlotte (ill.)	The Incredibly Boring Monotonous Family	978-0-330-42412-7	5-6
Bartlett, Anna	A Penny in Time	9781921479489	5-6
Bartlett, Anne	Aboriginal Peoples of Australia	978-981-232-065-0	3-4
Bartlett, Myke	Fire in the Sea	9781921922749	9-10
Barton, Colleen; Axelsen, Stephen (ill.)	I Findem P.I.	978-1-86388-258-3	5-6
Barwick, John; Axelsen, Stephen (ill.)	It's True! Bushrangers Lost Their Heads	978-1-74114-298-3	5-6
Barwick, John; Barwick, Jennifer	True Survivors	978-1-74070-252-2	5-6
Base, Graeme	Animalia	978-0-14-054112-0	EC-2, 3-4
Base, Graeme	Enigma	978-0-67007-201-9	EC-2, 3-4
Base, Graeme	Jungle Drums	978-0-670-04108-4	EC-2, 3-4
Base, Graeme	Little Elephants	9780670076475	EC-2
Base, Graeme	My Grandma Lived in Gooligulch	978-0-7343-0450-6	EC-2
Base, Graeme	The Discovery of Dragons	978-0-14-056513-3	5-6
Base, Graeme	The Eleventh Hour	978-0-14-054148-9	EC-2, 3-4, 5-6
Base, Graeme	The Jewel Fish of Karnak	9780670074679	3-4, 5-6
Base, Graeme	The Last King of Angkor Wat	9781419713545	5-6
Base, Graeme	The Legend of the Golden Snail	978-0-670-07349-8	3-4, 5-6
Base, Graeme	The Sign of the Seahorse	978-0-14-054401-5	EC-2, 3-4, 5-6, 7-8, 9-10
Base, Graeme	The Waterhole	978-0-14-056753-3	3-4
Base, Graeme	The Worst Band in the Universe	978-0-14-056587-4	5-6
Base, Graeme	Truck Dogs	978-0-670-89333-1	5-6, 7-8
Base, Graeme	Uno's Garden	978-0-670-04191-6	EC-2, 3-4
Baskin, Nora Raleigh	Anything But Typical	978-1-4169-9500-5	7-8
Bass, Guy	Monster Boy	978-1-4071-0459-1	EC-2, 3-4, 5-6, 7-8, 9-10
Bassett, Jan	Wrecked: Mysteries and Disasters at Sea	978-1-86448-089-4	7-8
Bates, Dianne	Cinderfella	978-0-14-131265-1	EC-2
Bates, Dianne	Grandma Cadbury's series		5-6
Bates, Dianne	The Hold-Up Heroes	978-1-876944-38-4	3-4, 5-6
Bates, Dianne	The Last Refuge	978-0-7336-0318-1	7-8
Bates, Dianne	Our Home Is Dirt By Sea	9781925081190	3-4, 5-6, 7-8
Bates, Dianne; Johns, Cheryll (ill.)	Big Bad Bruce	978-0-207-17696-8	EC-2
Bates, Dianne; Rippin, Sally (ill.)	The Shape	978-1-86508-353-7	5-6
Bateson, Catherine	A Dangerous Girl	978-0-7022-3168-1	9-10
Bateson, Catherine	His Name in Fire	978-0-7022-3478-1	9-10
Bateson, Catherine	Magenta McPhee	9781741664089	5-6
Bateson, Catherine	Millie and the Night Heron	978-0-7022-3526-9	7-8
Bateson, Catherine	Mimi and Blue Slave	9781864719949	5-6
Bateson, Catherine	Painted Love Letters	978-0-7022-3289-3	7-8
Bateson, Catherine	Rain May and Captain Daniel	978-0-7022-3337-1	5-6
Bateson, Catherine	Star	9781862919815	5-6
Bateson, Catherine	The Airdancer of Glass	978-0-7022-3393-7	7-8
Bateson, Catherine	The Wish Pony	978-0-74166-324-2	3-4
Bateson, Catherine	The Year it All Happened	978-0-7022-3229-9	9-10
Bateson, Catherine	Being Bee	978-0-7022-3566-5	5-6, 7-8
Bateson, Catherine; Carruthers, Adam (ill.)	Hanging Out	978-1-86291-829-0	EC-2
Batistich, Amelia	A Better Life: the Diary of Ivana Ivanovich, Dargaville 1924	978-1-86943-603-2	5-6, 7-8
Battersby, Ewan	Jock and Aramis	978-1-86291-634-0	5-6
Battersby, Katherine	Squish Rabbit	9780702239250	EC-2
Bauer, Michael Gerard	Dinosaur Knights	978-1-86291-795-8	5-6
Bauer, Michael Gerard	Don't Call Me Ishmael!	978-1-86291-666-1	7-8
Bauer, Michael Gerard	Ishmael and the Hoops of Steel	9781862919174	9-10
Bauer, Michael Gerard	Ishmael and the Return of the Dugongs	978-1-86291-764-4	9-10
Bauer, Michael Gerard	The Pain, My Mother, Sir Tiffy, Cyber Boy Me	9781742991504	7-8, 9-10
Bauer, Michael Gerard	The Running Man	978-1-86291-575-6	9-10
Bauer, Michael Gerard	Just a Dog	978-1-862-91887-0	5-6
Bauer, Michael Gerard; Bauer, Joe (ill.)	Eric Vale series		5-6
Bauer, Michael Gerard; Bauer, Joe (ill.)	The Case of Animals Behaving Really, Really, Really Badly	9781742990651	3-4
Bauer, Michael Gerard; Bauer, Joe (ill.)	The Case of the Really Really Scary Things	9781742990668	3-4
Bauer, Michael Gerard; Bauer, Joe (ill.)	The Case of the Really, Really Magnetic Magnet	9781742990675	3-4
Baum, Frank L.	The Wizard of Oz	978-1-85326-112-1	7-8
Baumgart, Klaus	Laura's Star	978-1-84506-157-9	EC-2
Bavati, Robyn	Dancing in the Dark	978-0-14-320236-6	9-10
Bavati, Robyn	Within These Walls	9781760152857	7-8
Bawden, Nina	Carrie's War	978-0-19-831295-6	7-8
Bawden, Nina	The Peppermint Pig	978-0-14-030944-7	5-6
Baynton, Martin	A Dragon's Tail	978-1-4063-1180-8	5-6
Baynton, Martin	Jane and the Dragon	978-0-908643-68-4	EC-2
Baynton, Martin	Jane and the Magician	9780763635718	EC-2
Baynton, Martin	The Dragon's Purpose	978-1-86943-037-5	EC-2
Baynton, Martin	Three's a Crowd	978-1-4063-1181-5	EC-2
Beaton, Clare	Mother Goose Remembers	978-1-84148-073-2	EC-2
Beatty, Scott	Batman	978-1-4053-0428-3	5-6
Beaty, Andrea; Roberts, David (ill.)	Rosie Revere, Engineer	9781419708459	3-4
Beck, Jennifer; Blacklock, Dyan	Crash: the Search for the Stinson	978-1-86291-378-3	7-8
Beck, Jennifer; Fisher, Lindy	Stefania's Dancing Slippers	978-1-86943-811-1	5-6
Becker, Aaron	Journey	9781763660536	3-4
Becker, Aaron	Quest	9780763665951	3-4
Becker, Aaron	Return	9781406368437	3-4
Becker, Bonny; McDonald Denton, Kady (ill.)	A Library Book for Bear	9780763649241	EC-2
Beckett, Bernard	August	9781921758041	9-10
Beckett, Bernard	Genesis	978-1-921351-42-6	9-10
Bedford, David; Watson, Judy	Tipper, Tipper!	978-1-821272-36-4	EC-2
Bedford, David; Watson, Judy	Tractor, Tractor!	978-1-921049-77-4	EC-2
Belbin, David	Stray	978-1-84299-381-1	7-8, 9-10
Belbin, David	Coma	978-1-84299-197-8	7-8, 9-10
Belbin, David; McIntosh, Liz (ill.)	Nicked!	978-1-90226-029-7	7-8, 9-10
Bell, Alex	Lex Trent vs The Gods	9780755355181	9-10
Bell, Anne	Muster Me a Song	978-0-9578681-1-3	3-4
Bell, Davina; Colpoys, Allison (ill.)	The Underwater Fancy-Dress Parade	9781925106206	EC-2
Bell, Davina; Masciullo, Lucia (ill.)	Our Australian Girl - Alice series		5-6, 7-8
Bell, Helen	Idjhil	978-1-876268-90-9	5-6, 7-8
Bell, Helen	The Stone Swan	978-1-876615-01-7	5-6
Bell, Jake	Freezer Burned	978-0-545-15670-7	5-6
Bell, Jake	Secret Identity Crisis	978-0-545-15669-1	5-6
Bell, Johanna; Beasley, Dion (ill.)	Go Home, Cheeky Animals!	9781760291655	EC-2
Bell, Johanna; Beasley, Dion (ill.)	Too Many Cheeky Dogs	9781743316221	EC-2
Bell, Krista	Jezza	978-1-875971-37-4	EC-2
Bell, Krista	No Regrets	978-0-7344-0430-5	7-8
Bell, Krista	No Strings	978-0-7344-0626-2	7-8
Bell, Krista	No Tears	978-0-7344-0695-8	5-6, 7-8
Bell, Krista	Pidge	978-1-86448-360-4	EC-2
Bell, Krista	Read My Mind!	978-0-7344-0108-3	5-6
Bell, Krista	Who Cares?	978-0-7344-0466-4	9-10
Bell, Krista	Who Dares?	978-0-7344-0744-3	5-6
Bell, Krista; Elliot, Belinda (ill.)	Jack's Bugle	9781922081292	3-4
Bell, Krista; Miller, David	Lofty's Mission	978-0-7344-0981-2	3-4
Bell, Krista; Norling, Beth (ill.)	Flying Feet	978-0-14-330206-3	EC-2
Bell, Krista; Rippin, Sally (ill.)	Peeking Ducks	978-1-921136-45-0	EC-2
Bell, Krista; Smith, Craig (ill.)	Sniffy the Sniffer Dog	978-0-7344-0463-3	3-4
Bell, Krista; Walters, Ainsley (ill)	Burning the Bails - The Story of the Ashes	9780987313980	3-4
Bella, Trace	Rockhopping	97818760112349	7-8
Belton, Robyn	Herbert the Brave Sea Dog	978-1-921529-30-6	EC-2, 3-4
Bemelmans Marciano, John	Madeline and the Cats of Rome	9780143304623	EC-2
Bemelmans Marciano, John	Madeline at the White House	9780670012282	EC-2
Bemelmans, Ludwig	Madeline series		EC-2, 3-4
Benjamin, A. H.	A Duck So Small	978-0-86461-116-1	EC-2
Benjamin, Ruth	The Lost Treasure of Chilton	978-1-932443-02-8	5-6
Bennett, Jean	Below the Mountains: the Diary of Amy McDonald, Milford Road, 1935-36	978-1-86943-663-6	5-6, 7-8
Bennett, Renee; Richards, Claire (ill.)	Imagine We Were	9781921633638	EC-2
Bently, Paul; Matsuoka, Mei	The Great Dog Bottom Swap	978-1-84270-828-6	EC-2
Ben-Uri, Galila	Dark Island	978-1-56062-206-2	5-6
Ben-Uri, Galila	The Missing Crown	978-0-935063-41-7	5-6
Berenstain, Stan; Berenstain, Jan	Bears in the Night	978-0-00-171271-3	EC-2
Berger, Joe	Bridget Fidget	978-0-14-150180-2	EC-2
Berger, Joe	Hold on Tight!	978-0-14-150181-9	EC-2
Bergin, Elana	Dare to be Different	978-0-7475-4021-2	3-4
Bergin, Virginia	The Rain	9781447266068	9-10
Bergin, Virginia	The Storm	9781447266105	9-10
Bernard, Patricia	Claw of the Dragon: Broome, 1899-1900	978-1-86504-861-1	5-6, 7-8
Bernard, Patricia	Fords and Flying Machines: the Diary of Jack McLaren, Longreach, 1919-1921	978-1-86504-562-7	5-6, 7-8
Bernard, Patricia	Monkey Hill Gold	978-1-86291-133-8	7-8
Bernard, Patricia	Snatched by Pirates	9781741698459	5-6, 7-8
Bernard, Patricia	Stegosaur Stone	978-1-86504-620-4	7-8
Bernard, Patricia	The Mask	978-1-86504-790-4	7-8
Bernard, Patricia	The Outcast	978-0-7322-5768-2	7-8
Bernard, Patricia	The Punisher	978-0-73225-775-0	7-8
Bernard, Patricia	The Rule Changer	978-0-73225-907-5	7-8
Bernard-Waite, Judy; Bernard, Patricia	The Riddle of the Trumpalar	978-0-86896-217-7	5-6, 7-8
Berndt, Catherine; Meeks, Arone Raymond (ill.)	Pheasant and Kingfisher	978-1-86388-974-2	5-6
Berndt, Catherine; Meeks, Arone Raymond (ill.)	This is Still Rainbow Snake Country	978-0-7253-1066-0	5-6
Berran, Susan	Freaky series		5-6
Berry, Julie	All the Truth That's in Me	9780670786152	9-10
Betts, A. J.	Wavelength	978-1921-696-30-5	9-10
Betts, A.J.	Zac and Mia	9781922147257	9-10
Biegel, Paul	The King of the Copper Mountains	9780460057462	5-6
Biesty, Stephen	Giant Vehicles	9781922244444	3-4
Biesty, Stephen	Incredible Cross-sections	978-0-86318-807-7	5-6
Biesty, Stephen	Stephen Biesty's Incredible Body	978-0-7513-5841-4	7-8
Biesty, Stephen; Solway, Andrew	Rome in Spectacular Cross-Section	978-0-439-45546-6	7-8
Bilkuei, Cola	Boy Soldier	9781405038416	7-8, 9-10
Billingsley, Lucie	The Messy Mother's Day	978073441243	EC-2
Binding, Tim; Barrett, Angela (ill.)	Sylvie and the Songman	9780385611213	5-6
Bingham, Kelly	Shark Girl	978-0-7636-4627-1	9-10
Bingham, Mindy; Maeno, Itoko	Minou	978-0-86896-366-2	3-4
Birch, Robin	Councils	978-0-7329-7927-0	EC-2
Birch, Robin	Dinosaurs series		EC-2
Birch, Robin	Emergencies	978-0-7329-7925-6	EC-2
Birch, Robin	Health	978-0-7329-7929-4	EC-2
Birch, Robin	Schools	978-0-7329-7928-7	EC-2
Birch, Robin	Shops	978-0-7329-7930-0	EC-2
Birch, Robin	Stars	978-0-7329-8898-2	EC-2
Birch, Robin	Transport	978-0-7329-7926-3	EC-2
Bird, Carmel	The Cassowary's Quiz	978-0-09-183894-2	EC-2
Birdsall, Jeanne	The Penderwicks on Gardam Street	978-0-440-86840-8	5-6
Birdsall, Jeanne	The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy	978-0-440-86730-2	5-6
Bizley, Kirk	Swimming	978-1-57572-963-3	3-4
Bjolk, Christina	Linnea in Monet's Garden	978-91-29-58314-4	3-4
Blabey, Aaron	Noah Dreary	9780670077182	EC-2
Blabey, Aaron	Pearl Barley and Charlie Parsley	978-0-670-07094-7	EC-2
Blabey, Aaron	Pig the pug … series		EC-2
Blabey, Aaron	Piranhas Don't Eat Bananas	9781743625781	EC-2
Blabey, Aaron	Stanley Paste	978-0-670-07180-7	EC-2
Blabey, Aaron	Sunday Chutney	978-0-67007-179-1	3-4
Blabey, Aaron	The Bad Guys series		3-4
Blabey, Aaron	The Brothers Quibble	9780670076000	EC-2, 3-4
Blabey, Aaron	The Dreadful Fluff	9780670075997	EC-2, 3-4
Blabey, Aaron	The Ghost of Miss Annabel Spoon	9780670074741	3-4, 5-6
Blabey, Aaron	Thelma the Unicorn	9781743625804	3-4
Blabey, Aaron	Don't call me bear!	9781760159849	EC-2, 3-4
Blabey, Aaron	I Need A Hug	9781743629093	EC-2
Black, Birdie	Just Right	9780857630308	EC-2
Black, Holly	Valiant: A Modern Tale of Faerie	978-1-4169-0119-8	9-10
Black, Holly; Clare, Cassandra	The Bronze Key	9780545522311	7-8, 9-10
Black, Holly; Clare, Cassandra	The Copper Gauntlet	9780545522281	7-8, 9-10
Black, Holly; Clare, Cassandra	The Iron Trial	9780857532503	7-8, 9-10
Black, Holly; Di Terlizzi, Tony	Care and Feeding of Sprites	978-1-4169-2757-0	5-6
Black, Holly; Di Terlizzi, Tony	The Wyrm King	978-0-689-87133-7	5-6
Black, Holly; Di Terlizzi, Tony (ill.)	Lucinda's Secret	978-0-689-85938-0	5-6
Black, Holly; Di Terlizzi, Tony (ill.)	The Field Guide	978-0-689-83738-8	5-6
Black, Holly; Di Terlizzi, Tony (ill.)	The Ironwood Tree	978-0-689-85939-7	5-6
Black, Holly; Di Terlizzi, Tony (ill.)	The Seeing Stone	978-0-689-85937-3	5-6
Black, Holly; Di Terlizzi, Tony (ill.)	The Wrath of Mulgarath	978-0-689-85940-3	5-6
Black, Ivan	Against the Odds	978-1-4202-1896-1	3-4, 5-6
Black, Ivan	Fight or Flight	978-1-4202-1919-7	3-4, 5-6
Black, Ivan	Hurricane Tamer	978-1-4202-1909-8	3-4, 5-6
Black, Ivan	The Final Wave Goodbye	978-1-4202-1917-3	3-4, 5-6
Black, Ivan	The Wild Ride	978-1-4202-1906-7	3-4, 5-6
Black, Jess	Eve and the Fiery Phoenix	9781925059441	3-4
Black, Jess	Eve and the Runaway Unicorn	9780957988415	3-4
Blackadder, Jesse	Dexter: The Courageous Koala	9780733331787	5-6
Blackford, Andy; Mason, Sue (ill.)	George And The Dragonfly	978-1-84089-624-4	EC-2
Blacklock, Dyan	I Want Earrings	978-1-86291-354-7	EC-2, 3-4
Blacklock, Dyan	Pankration	978-1-86448-295-9	7-8
Blacklock, Dyan; Kennett, David (ill.)	Olympia: Warrior Athletes of Ancient Greece	978-1-86291-388-2	5-6, 7-8
Blacklock, Dyan; Kennett, David (ill.)	The Roman Army	978-1-86291-504-6	5-6
Blackman, Jenny	Our Enemy, My Friend: the Diary of Emma Shelldrake, Adelaide Hills, 1915 (My Friend, the Enemy)	978-1-86504-526-9	5-6, 7-8
Blackman, Malorie	Boys Don't Cry	9780552548625	9-10
Blackman, Malorie	Checkmate	978-0-552-55194-6	9-10
Blackman, Malorie	Double Cross	9780385615518	9-10
Blackman, Malorie	Knife Edge	978-1-84657-654-6	9-10
Blackman, Malorie	Noughts and Crosses	978-0-552-55570-8	9-10
Blackstone, Stella	Secret Seahorse	978-1-84148-703-8	EC-2
Blackwood, Gary	Shakespeare's Scribe	978-0-14230-066-4	7-8, 9-10
Blackwood, Gary	Shakespeare's Spy	978-0-14240-311-2	7-8, 9-10
Blackwood, Gary	The Shakespeare Stealer	978-0-14-130595-0	7-8, 9-10
Blackwood, Gary	The Shakespeare Stealer series	978-0-14230-066-4	7-8, 9-10
Blain, Georgia	Dark Water	9781864719833	9-10
Blake, Bronwyn	Carrie's Song	978-0-07-440687-8	7-8
Blake, Bronwyn	Cornerstone	978-0-7344-0699-6	9-10
Blake, Bronwyn	Dangerous Waters	978-0-7344-0467-1	7-8
Blake, Bronwyn	Find Me a River	978-0-7344-0261-5	9-10
Blake, Bronwyn	Nick Reilly's 9th Life	978-0-7344-0333-9	7-8
Blake, Bronwyn	Paddy McCann, Time Shifter	978-0-7344-0783-2	5-6, 7-8
Blake, Jon	Oshie	978-1-4063-2417-4	3-4, 5-6
Blake, Quentin	Angelica Sprockets Pockets	9780224083768	EC-2
Blake, Quentin	Clown	978-0-8050-4399-0	EC-2
Blake, Quentin	Mister Magnolia	978-0-09-940042-4	EC-2
Blake, Quentin	Mrs Armitage series		EC-2
Blake, Quentin	Tell Me a Picture	978-0-7112-2067-6	5-6, 7-8
Blake, Quentin; Bouchard, Andre	Daddy Lost His Head	978-0-224-08378-2	3-4
Blake, Quentin; Rosen, Michael	Quick, Let's Get out of Here	978-0-14-031784-8	5-6
Blake, Stephanie	Stupid Baby	9781877579325	EC-2, 3-4
Blake, Stephanie	Super Rabbit	9781877579578	EC-2
Bland, Nick	A Monster Wrote Me a Letter	978-1-86504-601-3	EC-2
Bland, Nick	King Pig	9781742834955	EC-2
Bland, Nick	Monster Chef	9781742838250	EC-2, 3-4
Bland, Nick	Some Dads	9781741697933	EC-2
Bland, Nick	Some Mums	9781743626047	EC-2
Bland, Nick	The Aunties Three	978-1-74169-791-9	3-4
Bland, Nick	The Fabulous Friend Machine	9781760277659	3-4
Bland, Nick	The Very ... Bear series		EC-2, 3-4
Bland, Nick	The Very Cranky Bear	978-1-74169-134-4	EC-2, 3-4
Bland, Nick	The Wrong Book	978-1-741-69340-9	EC-2
Bland, Nick	Twinkle	978-1-74169-353-9	EC-2
Bland, Nick	When Henry Caught Imaginitis	978-1-74169-030-9	EC-2
Bland, Nick; Blackwood, Freya (ill)	The Runaway Hug	978-1-86504-405-7	EC-2
Bland, Nick; King Stephen Michael (ill.)	The Magnificent Tree	9781742832951	EC-2
Blaxland, Wendy	The Princess and the Unicorn	978-0-14-330160-8	EC-2
Bloom, Jessica	Plenitude	978-0-9581360-0-6	5-6, 7-8
Bloom, Valerie	On a Camel to the Moon	978-1-84138-247-0	5-6
Blume, Judy	Are You There God? It's Me Margaret	978-0-330-39808-4	7-8
Blume, Judy	Double Fudge	978-0-439-58549-1	3-4
Blume, Judy	Freckle Juice	978-0-330-30829-8	3-4
Blume, Judy	Fudge-a-mania	978-0-440-70695-3	3-4
Blume, Judy	Superfudge	978-0-440-48433-2	3-4
Blume, Judy	Tales of a Fourth Grade Nothing	978-0-330-39817-6	3-4
Blumenthal, Karen	Steve Jobs The Man Who Thought Different	9781408832073	9-10
Blythe, Daniel	Shadow Runners	9781906247801	7-8, 9-10
Blyton, Enid	Adventures of the Wishing Chair	978-0-7323-0892-6	3-4
Blyton, Enid	The Enchanted Wood	978-1-86515-421-3	3-4
Blyton, Enid	The Folk of the Faraway Tree	978-0-603-56198-6	3-4
Blyton, Enid	The Magic Faraway Tree	978-1-86515-967-6	3-4
Blyton, Enid	The Wishing Chair Again	978-0-7497-3212-7	3-4
Boardman, Alan; Harvey, Roland (ill.)	Crossing the Blue Mountains	978-1-86388-707-6	3-4
Boardman, Alan; Harvey, Roland (ill.)	Eureka Stockade	978-1-86388-708-3	3-4
Boardman, Alan; Harvey, Roland (ill.)	The First Fleet	978-1-86388-709-0	3-4
Bodsworth, Nan	A Nice Walk in the Jungle	978-0-14-054127-4	EC-2
Bodsworth, Nan	Peg Leg Meg	978-0-14-130344-4	3-4
Bogle, Eric; Whatley,	And the Band Played Waltzing Matilda	9781743317051	5-6, 7-8
Bollard, Kellie	In The Bin	9780646500584	3-4, 5-6
Bollard, Kellie	Worms The Mechanics of Organics	9780646535593	3-4, 5-6
Bond, Michael	Paddington series		EC-2, 3-4
Bone, Ian	Blood on the Microphone	978-0-7344-0170-0	7-8
Bone, Ian	Dancing Night Tonight	978-1-86504-384-5	EC-2
Bone, Ian	Killer Plot	978-0-7344-0169-4	7-8
Bone, Ian	Love Cuts	978-0-14-300028-0	9-10
Bone, Ian	Scarlett's Bat	978-0-14-330042-7	3-4
Bone, Ian	Sleep Rough Tonight	978-0-14-300027-3	9-10
Bone, Ian	Spy Babies	978-0-7344-0105-2	7-8
Bone, Ian	That Dolphin Thing	978-0-14-131126-5	9-10
Bone, Ian	Winning Back Dad	978-0-7445-7291-9	5-6
Bone, Ian; Dawson, Janine (ill.)	Philomena Wonderpen series		3-4
Bone, Ian; James, Ann (ill.)	Shoo Cat	978-1-86291-531-2	EC-2, 3-4
Bone, Ian; Vane, Mitch (ill.)	Maddy in the Middle	978-1-86291-445-2	EC-2, 3-4
Bongers, Christine	Henry Hoey Hobson	9781864719956	5-6
Bongers, Christine	Intruder	9780857983763	9-10
Bongers, Christine; McGuiness, Dan (ill.)	Drongoes	9781862919822	EC-2, 3-4
Bonne, Rose	I Know an Old Lady	978-0-86896-151-4	EC-2
Bonning, Tony; Hobson, Sally (ill.)	Stone Soup	978-0-86461-358-5	EC-2
Booth, Christina	Kip	978-1-921136-40-5	EC-2
Booth, Christina	Potato Music	978-86291-788-0	EC-2, 3-4
Borando, Silvia	Shapes At Play	9781406367331	EC-2
Borando, Silvia	Shapes, Reshape!	9781406367348	EC-2
Borges, Jorge Luis	Labyrinths	9780811200127	9-10
Borlenghi, Patricia	Chaucer the Cat and the Animal Pilgrims	978-0-7475-4790-7	3-4
Bosch, Pseudonymous	If You're Reading This, It's Too Late	9781741755893	7-8
Bosch, Pseudonymous	The Name of this Book is Secret	9781741754315	7-8
Bosch, Pseudonymous	This Book Is Not Good for You	9781741758733	7-8
Bosch, Pseudonymous	This Isn't What It Looks Like	9780316076258	7-8
Bosch, Pseudonymous	You Have to Stop This	9780316076265	7-8
Bosse, Malcolm J.	Ganesh	978-0-09-996700-2	7-8
Boston, Lucy	Children of the Green Knowe	978-0-15-217151-3	5-6
Bouchet, Bruno	Captain Wetbeard	978-0-7333-2070-5	3-4
Bound, Samantha-Ellen	And All That Jazz	9780857982827	3-4
Bound, Samantha-Ellen	Breaking Pointe	9780857983749	3-4
Bound, Samantha-Ellen	Broadway Baby	9780857989031	3-4
Bound, Samantha-Ellen	Dance Till You Drop	9780857983725	3-4
Bound, Samantha-Ellen	Hit The Streets	9780857982841	3-4
Bound, Samantha-Ellen	Lights, Camera, Dance!	9780857989055	3-4
Bound, Samantha-Ellen	Rhythm and Blues	9780857989079	3-4
Bound, Samantha-Ellen	Studio Showdown	9780857989093	3-4
Bound, Samantha-Ellen	What the Raven Saw	978-1-74275-735-3	5-6
Bouras, Gillian; Pignataro, Anna (ill.)	Aphrodite Alexandra	978-0-7344-0996-6	EC-2
Bourgeois, Paulette	Franklin's series		EC-2
Bourke, Nike; Danalis, Stella (ill.)	What the Sky Knows	978-0-7022-3501-6	EC-2
Bowden, Oliver	Assassin's Creed series		9-10
Bowe, Steph	Girl Saves Boy	978-1-921656-59-0	9-10
Bowen, Jan; Mitchell, Elyne	Thousandth Brumby	978-0-207-19044-5	5-6
Bowler, Tim	River Boy	978-0-198-32637-3	5-6, 7-8
Bowles, Colin	Going Off	978-0-14-130439-7	9-10
Bowles, Colin	Nights in the Sun	978-0-14-026555-2	9-10
Bowles, Colin	Surfing Mr Petrovic	978-0-14-038641-7	5-6, 7-8
Bowman, Anne	Count Them While You Can	9781921541605	EC-2
Bowman, Lucy	ANTS	9781409581604	EC-2
Bowring, Jane; Rossell, Judith (ill.)	Aussiemaze	978-0-86461-339-4	3-4
Bowring, Sam	The Zoo of Magical and Mythological Creatures	978-0-330-42475-2	5-6
Bowring, Sam; McLean, Andrew (ill.)	Sam The Cat A True Story	9781921504297	EC-2
Boyce, Frank Cottrell	The Un-Forgotten Coat	9781406333855	5-6
Boyd, Maria	Will	978-1-74166-210-8	9-10
Boyne, John	The Boy in the Striped Pyjamas	978-0-385-60940-1	9-10
Boyne, John	The Boy at the Top of the Mountain	9780857534798	7-8, 9-10
Bradford, Chris	Bodyguard series		7-8, 9-10
Bradford, Chris	The Ring of Earth	978-0-141-33253-6	5-6, 7-8
Bradford, Chris	Young Samurai series		5-6
Bradman, Tony	Gripping War Stories	978-0-552-54526-6	7-8
Bradman, Tony; Cunliffe, Ian (ill.)	All Aboard the Toy Train	978-0-7502-3317-0	3-4
Bradman, Tony; Roberts, David (ill.)	Here Come the Heebie Jeebies and Other Scary Poems	978-0-7500-2933-9	3-4
Bradman, Tony; Ross, Tony (ill)	Michael	978-1-84270-911-9	EC-2
Brand, Christianna	Nanny McPhee: Based on the Collected Tales of Nurse Matilda	978-0-7475-7899-4	5-6
Brand, Jack; Jellett, Tom (ill.)	Champ or chicken	9781760110352	3-4
Brand, Jack; Jellett, Tom (ill.)	Legend or Loser	9781760110345	3-4
Branford, Anna	Neville No-Phone	9781921529962	3-4
Branford, Anna Davis, Sarah(ill.)	Violet Mackerel's series		3-4
Branford, Anna; Catchlove, Linda (ill.)	Lilli-Pilli's Sister	9781921977589	EC-2
Branford, Anna; Coutts, Lisa (ill.)	Lily the Elf series		EC-2
Branford, Anna; Orsini, Cheryl (ill.)	Sophie's Salon	978-0-14-330482-1	3-4
Branford, Henrietta	Fire, Bed and Bone	978-0-7445-9049-4	7-8
Brasch, Nicholas	Theme Parks, Playgrounds and Toys	9781420268942	3-4, 5-6
Brasch, Nicolas	Our Stories: For Valour: Australia’s Victoria Cross Heroes	9781742032313	5-6, 7-8
